"Year","County","Population","Area","Urban_pop","Density","Prop_urban"
1920,"Shelby",25923,411.0359548,8590,63.0674754781817,0.33136596844501
1920,"Stark",177218,580.9081748,126122,305.070590650603,0.711677143405297
1920,"Summit",286065,420.0610528,250129,681.008148918299,0.874378200758569
1920,"Trumbull",83920,634.714985,50006,132.21682484777,0.595877025738799
1920,"Tuscarawas",63578,571.4823452,34160,111.25103082187,0.53729277423008
1920,"Union",20918,436.9747083,3635,47.8700474024666,0.173773783344488
1920,"Van Wert",28210,410.4847746,10676,68.7236208151434,0.37844735909252
1920,"Vinton",12075,414.9590297,0,29.0992583261287,0
1920,"Warren",25716,407.1390756,6467,63.1626919182404,0.251477679265827
1920,"Washington",43049,640.1477126,15140,67.2485414735824,0.351692257659876
1920,"Wayne",41346,556.3108323,12311,74.3217597059183,0.297755526532192
1920,"Williams",24627,423.0502233,7304,58.212946462709,0.296585048930036
1920,"Wood",44892,620.5390077,5788,72.3435584918186,0.128931658201907
1920,"Wyandot",19481,407.620576,3708,47.7919936995526,0.190339304963811
1930,"Adams",20381,585.7856879,0,34.7925878371396,0
1930,"Allen",69419,406.8799787,45342,170.612966068758,0.653164119333324
1930,"Ashland",26867,426.8442626,11141,62.9433316881135,0.414672274537537
1930,"Ashtabula",68361,709.7655449,36783,96.3149035497792,0.538069952165709
1930,"Athens",44175,508.5371204,15477,86.8668150817649,0.350356536502547
1930,"Auglaize",28034,401.7178055,10811,69.7853060436476,0.385638867089962
1930,"Belmont",94719,541.3875198,41206,174.956009394142,0.435034153654494
1930,"Brown",20148,495.21664,0,40.6852241475569,0
1930,"Butler",114084,470.2001799,84756,242.628575821181,0.742926264857473
1930,"Carroll",16057,399.0057851,1358,40.2425242931647,0.0845737061717631
1930,"Champaign",24103,429.7047661,7742,56.0920006048776,0.321204829274364
1930,"Clark",90936,403.7946845,68743,225.203558864579,0.755949239025249
1930,"Clermont",29786,457.6712534,0,65.0816492814928,0
1930,"Clinton",21547,412.2846827,5332,52.2624315288442,0.24745904302223
1930,"Columbiana",86484,535.1811095,50527,161.597632025538,0.584235234262985
1930,"Coshocton",28976,567.5733154,10908,51.0524353661324,0.37644947542794
1930,"Crawford",35345,402.8284317,22126,87.7420688774089,0.626000848776347
1930,"Cuyahoga",1201455,459.4089174,1165880,2615.21915334071,0.970390068708358
1930,"Darke",38009,600.2857753,8341,63.3181753823911,0.219448025467652
1930,"Defiance",22714,414.1832822,8818,54.8404558468681,0.388218719732324
1930,"Delaware",26016,455.9736449,8675,57.0559291989466,0.33344864698647
1930,"Erie",42133,256.5773663,24622,164.211678557556,0.584387534711509
1930,"Fairfield",44010,508.5959272,18716,86.5323484643115,0.425266984776187
1930,"Fayette",20755,407.0773975,8426,50.9853903151181,0.405974463984582
1930,"Franklin",361055,543.3247829,310256,664.528862594609,0.859303984157538
1930,"Fulton",23477,407.319194,2889,57.6378436023322,0.123056608595647
1930,"Gallia",23050,471.1353678,7106,48.9243677621436,0.308286334056399
1930,"Geauga",15414,408.2840356,0,37.7531293315158,0
1930,"Greene",33259,416.2127896,10507,79.9086448832182,0.315914489311164
1930,"Guernsey",41486,528.2915106,18767,78.5286137815897,0.452369474039435
1930,"Hamilton",589356,412.783997,530170,1427.7588382381,0.899575129463346
